industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
Socks knitting or knitting and finishing,8,0,2,2
"Socks, men's and boy's, manufacturing",10,0,4,0
"Socks, women's, children's, and infants', merchant wholesalers",1,0,1,0
Sod farming,81,0,36,19
Sod laying services,5,0,2,2
"Soda carbonated, manufacturing",30,0,10,15
Soda fountain cooling and dispensing equipment manufacturing,3,0,2,1
Soda fountain syrups manufacturing,1,0,1,0
Sodium aluminate manufacturing,22,0,7,2
Sodium arsenite (except insecticides) manufacturing,2,0,2,1
Sodium bicarbonate manufacturing,14,0,6,2
Sodium borate manufacturing,0,0,0,0
Sodium borohydride manufacturing,0,0,0,0
"Sodium carbonate (i.e., soda ash) manufacturing",1,0,0,0
Sodium chlorate manufacturing,1,0,0,0
"Sodium chloride, rock salt, mining and/or beneficiating",3,0,0,3
Sodium cyanide manufacturing,1,0,1,0
"Sodium hydroxide (i.e., caustic soda) manufacturing",3,0,3,0
Sodium hypochlorite manufacturing,20,0,10,5
"Sodium inorganic compounds, not specified elsewhere by process, manufacturing",86,0,26,35
"Sodium organic compounds, not specified elsewhere by process, manufacturing",4,0,1,2
Sodium phosphate manufacturing,4,0,3,1
"Sodium silicate (i.e., water glass) manufacturing",7,0,2,2
Sodium thiosulfate manufacturing,0,0,0,0
"Sofa beds and chair beds, upholstered, manufacturing",8,0,1,4
"Sofas, upholstered, manufacturing",93,0,15,60
Soft Drink Manufacturing,2301,0,507,1547
"Soft drink beverage bars, nonalcoholic, fixed location",2,0,1,1
Soft drink vending machines manufacturing,1,0,1,0
Soft drinks manufacturing,116,0,53,40
Soft drinks merchant wholesalers,579,0,281,224
Soft pretzels made in a commercial bakery,0,0,0,0
"Software analysis and design services, custom computer",4,0,0,0
Software and other prerecorded CD Tape and Record Reproducing,3,0,1,0
Software installation services computer,0,0,0,0
"Software installation services, computer",62,0,15,7
"Software programming services, custom computer",10,0,4,0
Software publishers,8,0,0,0
"Software, computer, packaged, merchant wholesalers",44,0,20,14
Softwood Veneer and Plywood Manufacturing,52,0,28,7
"Softwood dimension lumber and stock, resawing purchased lumber",3,0,2,0
Softwood distillates manufacturing,2,0,1,1
Softwood veneer or plywood manufacturing,17,0,4,6
"Soil Preparation, Planting, and Cultivating",4,0,1,1
Soil compacting,0,0,0,0
"Soil conservation services, government",0,0,0,0
Soil remediation services,3,0,1,1
Soil test drilling,3,0,0,0
Soil testing kits manufacturing,5,0,3,2
Solar,1,0,0,0
Solar Construction and Design,433,0,282,115
Solar Electric Power Generation,0,0,0,0
Solar Service O&M,1,0,1,0
Solar cells manufacturing,0,0,0,0
Solar cells merchant wholesalers,1,0,1,0
Solar energy heating equipment manufacturing,1,0,0,1
Solar farms,1,0,0,0
Solar heating equipment installation,15,0,6,2
Solar heating systems manufacturing,1,0,0,0
Solar power structure construction,59,0,32,9
"Solar reflecting coating, roof, application",6,0,2,2
"Solder wire, nonferrous metals (except aluminum, copper), made from purchased metals or scrap",3,0,1,2
Soldering equipment (except hand held) manufacturing,1,0,0,1
Soldering iron tips and tiplets manufacturing,15,0,1,11
Solderless connectors (electric wiring devices) manufacturing,14,0,6,4
"Solenoid valves (except fluid power), industrial-type, manufacturing",1,0,1,1
Solenoids for electronic applications manufacturing,20,0,9,5
"Solicitors' offices, government",0,0,0,0
Solid Wast Collection,0,0,0,0
Solid Waste Collection,904,1,233,365
Solid Waste Collection & Transfer Station,5,0,3,1
Solid Waste Collection Facility,0,0,0,0
Solid Waste Collection and Transfer Station,13,1,7,3
Solid Waste Collections,5,0,1,4
Solid Waste Combustors And Incinerators,18,0,2,10
Solid Waste Combustors and Incinerators,1,0,0,1
Solid Waste Facility Landfill,10,0,3,6
Solid Waste Landfill,6,0,2,1
Solid Waste Transfer Station,0,0,0,0
Solid Waste and Recycle Collection,71,0,31,26
Solid waste Collection,39,0,8,12
Solid waste Landfill,1,0,0,0
Solid waste and recycling collection,3,0,3,0
"Solid waste combustors or incinerators, nonhazardous",12,0,5,6
Solid waste landfills combined with collection and/or local hauling of nonhazardous waste materials,121,1,30,63
"Solid waste landfills, nonhazardous",188,0,48,34
Solid waste removeal,4,0,1,3
Sonabuoys manufacturing,30,0,24,2
Sonar systems and equipment manufacturing,2,0,1,0
Sonic. Secondary Headquarters,44,0,32,5
Sorbitol manufacturing,0,0,0,0
"Sorghum farming, field and seed production",0,0,0,0
"Sorting, grading, cleaning, and packing of fruits and vegetables",108,0,41,38
Sound and lighting equipment rental or leasing,0,0,0,0
Sound equipment installation,1,0,0,0
"Sound recording, integrated production, reproduction, release, and distribution",1,0,1,0
Soup mixes made in a dehydration plant,19,0,10,9
"Soup mixes, dry, made from purchased dry ingredients",55,0,15,30
Soups (except seafood) canning,72,0,37,18
"Soups, frozen (except seafood), manufacturing",3,0,0,4
"Soups, frozen, merchant wholesalers",0,0,0,0
"Soups, seafood, manufacturing",10,0,5,5
Sour cream manufacturing,3,0,0,3
Souvenir shops,0,0,0,0
Soy sauce manufacturing,1,0,0,0
Soybean And Other Oilseed Processing,2,0,1,0
Soybean Processing,1,0,0,1
Soybean and Other Oilseed Processing,82,1,30,31
Soybean cakes and meal manufacturing,51,0,29,4
Soybean cooking oil made from purchased oils,9,0,3,6
"Soybean farming, field and seed production",18,0,8,3
Soybean flour and grits manufacturing,1,0,0,1
Soybean oil mills,4,0,2,1
"Soybean oil, cake, and meal, made in crushing mills",42,0,9,24
"Soybean oil, crude, manufacturing",28,0,11,13
"Soybean oil, deodorized, made in oil mills",5,0,1,3
"Soybean oil, refined, made in crushing mills",5,0,2,1
Soybean protein isolates made in crushing mills,7,0,2,0
Soybeans merchant wholesalers,0,0,0,0
Space Vehicle Parts Manufacturing,3,0,1,0
Space Vehicle Parts and Auxiliary Equipment Manufacturing,0,0,0,0
"Space flight operations, government",3,0,1,0
"Space satellites, communications, manufacturing",0,0,0,0
"Space transportation, freight, nonscheduled",13,0,7,3
Space vehicle guidance systems and equipment manufacturing,2,0,0,0
"Space vehicles, complete, manufacturing",395,0,113,154
Spaghetti merchant wholesalers,4,0,2,2
Spaghetti sauce canning,0,0,0,0
Spark plugs for internal combustion engines manufacturing,1,0,0,0
Speaker systems manufacturing,5,0,3,0
Special  Needs Transportation,7,0,5,1
Special Chemical Manufacturer,11,0,5,5
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",4,0,0,0
Special Need Transportation,8,0,1,5
Special Needs Transportation,0,0,0,0
Special Tool & Die,0,0,0,0
Special needs passenger transportation services,97,0,64,14
Special needs transportation,139,0,81,21
"Special purpose highway vehicle (e.g., firefighting vehicles) assembling on purchased chassis",51,0,4,28
"Special purpose highway vehicle (e.g., firefighting vehicles) bodies manufacturing",4,0,3,1
Special purpose highway vehicles assembling on heavy chassis of own manufacture,0,0,0,0
Special purpose highway vehicles on purchased chassis,25,0,2,12
Special purpose industrial machinery and equipment merchant wholesalers,44,0,16,11
Specialized Freight (except Used Goods) Trucking Local,15,0,3,6
"Specialized Freight (except Used Goods) Trucking, Local",135,0,83,50
"Specialized Freight (except Used Goods) Trucking, Long-Distance",179,2,105,19
Specialized Freight Trucking,24,0,10,12
"Specialized Freight Trucking, Local",0,0,0,0
"Specialized Freight Trucking, Long-Distance",5,0,5,0
Specialized Freight except Used Goods Trucking LongDistance,16,0,7,7
"Specialized Freight except Used Goods Trucking, Local",3,0,0,1
"Specialized Freight except Used Goods Trucking, Long-Distance",6,0,4,0
"Specialized Freight(except used goods) Trucking, Local",9,0,4,3
Specialized automotive repair,1,0,0,0
"Specialized freight (except used goods) trucking,",1,0,0,0
"Specialized freight trucking, local",1,0,1,0
Specialty,2,0,1,0
Specialty (except Psychiatric and Substance Abuse) Hospitals,89,0,24,38
Specialty (except Pyschiatric and Substance Abuse) Hospitals,26,0,5,13
Specialty Asian Frozen Foods,0,0,0,0
Specialty Ball and Component Manufacturer,1,0,0,0
Specialty Canning,24,0,12,4
"Specialty Canning, Food Manufacturing",2,0,1,0
Specialty Care Assisted Living,0,0,0,0
Specialty Chemical manufacturer,0,0,0,0
Specialty Chemicals Manufacturer,1,0,1,0
Specialty Contractor - Masonry,9,0,0,9
Specialty Finish Carpentry,0,0,0,0
Specialty Food and Drink Distribution,6,0,4,0
Specialty Foods,7,0,4,0
Specialty Frozen Foods,50,0,18,5
Specialty Gases Manufacturing,0,0,0,0
Specialty Hospital,230,0,99,2
Specialty Trade (Renewable Energy Constr.),37,1,5,14
Specialty Trade Contractor,52,0,26,10
Specialty Trade Contractors,11,0,2,3
"Specialty coatings, robotic systems",0,0,0,0
Specialty food stores,91,0,26,19
Specialty tile installation,1,0,0,0
"Specialty trades including HVAC, Plumbing, Electrical, and Services",3,0,3,0
"Specialty transformers, electric, manufacturing",26,0,15,12
Specialty(except Psychiatric and Substance Abuse) Hospitals,9,0,3,0
Specialty-line pharmaceuticals merchant wholesalers,3,0,1,1
Specialty:Electrical Construction,4,0,3,1
Spectator Sports,78,0,9,4
"Spectrometers (e.g., electron diffraction, mass, NMR, Raman) manufacturing",0,0,0,0
"Spectrophotometers (e.g., atomic absorption, atomic emission, flame, fluorescence, infrared, Raman, visible) manufacturing",3,0,0,0
"Speech clinicians' offices (e.g., centers, clinics)",4,0,4,0
"Speech pathologists' offices (e.g., centers, clinics)",4,0,0,0
"Speech therapists' offices (e.g., centers, clinics)",0,0,0,0
"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",6,0,5,1
"Speed changers (i.e., power transmission equipment) manufacturing",5,0,4,1
"Speed reducers (i.e., power transmission equipment) manufacturing",12,0,3,6
Speedways,4,0,0,0
Spent Fuel Storage,0,0,0,0
"Sperm banks, human",1,0,1,0
Spice and Extract Manufacturing,7,0,0,6
Spice grinding and blending,33,0,27,6
Spice mixtures manufacturing,67,0,38,24
Spice production,2,0,2,0
Spice stores,0,0,0,0
Spices and spice mix manufacturing,118,0,53,40
Spices merchant wholesalers,14,0,3,8
"Spigots, plumbing fixture fitting, manufacturing",8,0,1,0
"Spillway, floodwater, construction",2,0,0,1
"Spinach farming, field, bedding plant and seed production",17,0,1,6
"Spinning machines, metalworking, manufacturing",1,0,0,0
Spinning unfinished metal products,13,0,5,1
Spinning yarn from purchased fiber,1,0,0,0
Spirits Production,0,0,0,0
"Spirits, distilled (except brandy), manufacturing",19,0,11,3
"Spirits, distilled, merchant wholesalers",15,0,8,10
"Spline rolling machines, metalworking, manufacturing",4,0,0,2
"Sponges, plastics, manufacturing",0,0,0,0
"Sport coats, leather (including artificial and tailored) (except apparel contractors), manufacturing",2,0,1,1
Sporting and Recreational Goods,13,0,5,4
Sporting and Recreational Goods and Supplies Merchant Wholesalers,2,0,2,0
Sporting and recreational goods and supplies merch,0,0,0,0
"Sporting goods (except ammunition, clothing, footwear, small arms) manufacturing",79,0,22,26
Sporting goods and supplies merchant wholesalers,66,0,20,24
Sporting goods merchant wholesalers,24,0,7,16
Sporting goods rental,0,0,0,0
Sporting goods stores,9,0,6,1
"Sports Clubs, Managers, and Promoters",17,0,8,3
Sports Team/Stadium,0,0,0,0
Sports Teams and Clubs,236,0,80,2
Sports arena operators,76,0,41,4
"Sports clothing (except team uniforms), men's and boys', cut and sewn from purchased fabric (except apparel contractors)",2,0,0,2
"Sports clothing, team uniforms, cut and sewn from purchased fabric (except apparel contractors)",2,0,0,2
"Sports club facilities, physical fitness",4,0,2,0
"Sports clubs, professional or semiprofessional",0,0,0,0
Sports equipment and supplies merchant wholesalers,4,0,2,0
Sports event managers with facilities,16,0,8,8
Sports event organizers with facilities,29,0,8,3
Sports field construction,9,0,1,8
Sports halls of fame,0,0,0,0
"Sports instruction, camps, or schools",6,0,2,2
"Sports physical therapists' offices (e.g., centers, clinics)",0,0,0,0
Sports stadium operators,37,0,19,1
Sports teams and clubs,77,0,15,1
"Sports teams and leagues, recreational or youth",0,0,0,0
"Sports teams, professional or semiprofessional",35,0,10,0
Sports ticket offices,1,0,0,0
"Sportswear, men's and boys', merchant wholesalers",11,0,3,8
Spot removers (except laundry presoaks) manufacturing,7,0,2,2
"Spotlights, vehicular, manufacturing",1,0,0,0
Spray painting equipment (except industrial-type) merchant wholesalers,1,0,0,1
"Spray painting equipment, industrial-type, merchant wholesalers",0,0,0,0
Spray-on bedliner installation for trucks,78,0,7,44
"Sprayers and dusters, farm-type, manufacturing",32,0,9,13
"Sprayers, farm-type, merchant wholesalers",0,0,0,0
"Sprayers, manual pump, general purpose-type, manufacturing",4,0,2,0
Spraying crops,2,0,1,1
Spraying lawns,13,0,2,0
"Spreaders, farm-type, manufacturing",2,0,1,1
"Spreaders, lawn and garden-type, manufacturing",6,0,2,4
"Spreads, cheese, manufacturing",0,0,0,0
Spring Manufacturing,10,0,5,3
Spring Manufacuring,2,0,0,1
"Spring washers, metal, manufacturing",4,0,1,0
"Spring waters, purifying and bottling",291,0,118,134
"Spring winding and forming machines, metalworking, manufacturing",3,0,2,1
"Springs and spring units for seats, light gauge, made from purchased wire or strip",2,0,0,1
"Springs, assembled bed and box, made from purchased springs",2,0,0,2
"Springs, heavy gauge metal, manufacturing",57,0,22,16
"Springs, light gauge (except clock, watch), made from purchased wire or strip",6,0,4,0
"Springs, precision (except clock, watch), light gauge, made from purchased wire or strip",10,0,3,4
"Springs, steel, merchant wholesalers",6,0,2,2
"Sprinkler system, building, installation",94,0,27,47
"Sprinkler systems, automatic fire, manufacturing",17,0,6,6
"Sprinkler systems, fire, merchant wholesalers",21,0,4,13
"Sprinklers, lawn, manufacturing",10,0,8,0
Sprinter van conversion,2,0,1,0
"Sprockets, power transmission equipment, manufacturing",40,0,8,21
Spudding in oil and gas wells on a contract basis,9,0,3,4
"Squash farming, field, bedding plant and seed production",21,0,14,2
"Stabilizing bars, cargo, metal, manufacturing",59,0,12,19
"Stables, horse racing",15,0,1,7
"Stackers, industrial, truck-type, manufacturing",92,0,24,38
Stadium operators,8,0,0,0
Staff leasing services,28,2,9,5
Staffing,336,0,183,68
Staffing company,0,0,0,0
Stage lighting equipment manufacturing,0,0,0,0
"Stage set (e.g., concert, motion picture, television) erecting and dismantling, independent",78,0,34,8
Stained glass installation,0,0,0,0
Stained glass products made from purchased glass,1,0,1,0
Stainless Tubular Products LLC,0,0,0,0
"Stainless steel castings (except investment), unfinished, manufacturing",18,0,2,11
Stainless steel made in iron and steel mills,87,0,33,25
"Stains, biological, manufacturing",1,0,0,0
"Stair railings, metal, manufacturing",22,0,6,8
"Stair railings, wood, manufacturing",0,0,0,0
"Stair treads, metal, manufacturing",3,0,2,1
"Stair treads, rubber, manufacturing",6,0,1,4
"Staircases, metal, manufacturing",19,0,2,10
"Stairs, metal, manufacturing",57,0,17,7
"Stairway, metal, installation",6,0,3,2
"Stairway, precast concrete, installation",6,0,3,3
"Stairway, wood, installation",10,0,4,2
"Stairways, moving, manufacturing",26,0,10,4
"Stairwork (e.g., newel posts, railings, staircases, stairs), wood, manufacturing",31,0,10,6
"Stakes, surveyor's, wood, manufacturing",3,0,0,3
Stamping,2,0,0,2
"Stamping machines, metalworking, manufacturing",53,0,18,14
Stamping metal motor vehicle body parts,124,0,35,41
Stamping metal motor vehicle moldings and trims,15,0,5,3
"Stampings (except automotive, cans, coins), metal, unfinished, manufacturing",166,0,41,30
Stand alone casinos (except slot machine parlors),15,0,2,9
"Standards, setting and management, agencies, government",36,0,18,6
"Stands (except wire), merchandise display, manufacturing",3,0,1,2
Staples merchant wholesalers,4,0,0,0
Starch glues manufacturing,29,0,16,8
Starches (except laundry) manufacturing,44,0,8,16
"Starches, laundry, manufacturing",0,0,0,0
Started pullet production,12,0,6,0
Starter and starter parts for internal combustion engines manufacturing,2,0,0,1
State Department,54,0,38,0
State Government,45,0,44,8
State commercial banks,3,0,2,0
State credit unions,6,0,1,0
State education departments,93,0,13,0
State police,392,0,172,150
State tax commissions,6,0,5,0
Static pressure regulators manufacturing,2,0,0,0
Stationery made from purchased paper,7,0,3,2
Stationery stores,0,0,0,0
Stationery supplies merchant wholesalers,187,0,65,15
"Stationery, commercial printing (except screen), on a job-order basis",3,0,2,1
"Stationery, screen printing, on a job-order basis",0,0,0,0
Stators for motors manufacturing,0,0,0,0
"Statuary, marble, manufacturing",7,0,6,0
Statue erection,1,0,0,0
Steam Supply,1,0,0,0
Steam fitting contractors,10,0,1,3
"Steam fittings, metal, manufacturing",4,0,1,0
Steam heat distribution,2,0,0,2
Steam production and distribution,6,0,3,4
Steam separating machinery manufacturing,9,0,5,0
"Steam traps, industrial-type, manufacturing",4,0,0,0
Steam turbines manufacturing,0,0,0,0
Steamship rental or leasing without operators,3,0,1,2
Stearic acid esters manufacturing,1,0,0,1
Steel & Recycling,10,0,1,3
Steel Erection,1,0,0,0
Steel Fabrication,0,0,0,0
Steel Fabricators,0,0,0,0
Steel Forging,12,0,4,8
Steel Investment Foundaries,4,0,0,0
Steel Manufacturing,9,0,1,4
Steel Processing & Distribution,0,0,0,0
Steel Processor,4,0,0,4
Steel Reinforcement,1,0,1,0
Steel Service Center,1,0,1,0
Steel Tube Manufacturer,4,0,3,1
Steel Wire Drawing,9,0,5,0
Steel Wiredrawing,1,0,0,1
Steel erectors,0,0,0,0
"Steel forgings made from purchased steel, unfinished",94,0,22,39
Steel foundries (except investment),152,0,47,38
Steel framing contractors,36,0,6,20
"Steel investment castings, unfinished, manufacturing",21,0,1,14
Steel investment foundries,37,0,11,16
Steel joists manufacturing,9,0,3,2
Steel manufacturing,496,0,147,147
Steel merchant wholesalers,184,0,79,51
Steel mill construction,8,0,3,5
"Steel mill products (e.g., bar, plate, rod, sheet, structural shapes) manufacturing",72,0,25,20
Steel mills,295,0,49,99
Steel railroad car racks manufacturing,2,0,0,2
Steel shot abrasives manufacturing,1,0,0,0
Steel stud framing and drywall,0,0,0,0
Steel wire drawing,19,0,4,12
Steel wool manufacturing,15,0,0,10
"Steel, from pig iron, manufacturing",8,0,1,0
Steep slope roofing installation,8,0,4,0
Stencil inks manufacturing,0,0,0,0
"Stepladders, metal, manufacturing",0,0,0,0
"Sterilizers, hospital and surgical, manufacturing",25,0,6,3
"Sterilizers, laboratory-type (except dental), manufacturing",3,0,1,0
Stevedoring services,440,0,277,20
"Stills, heavy gauge metal, manufacturing",3,0,1,2
Stitchers and trimmers book binding equipment manufacturing,0,0,0,0
"Stitching, decorative and novelty, contractors on apparel",1,0,0,0
"Stitching, decorative and novelty, on textile articles and apparel",2,0,2,2
Stock car racetracks,0,0,0,0
"Stock, chair, unfinished hardwood, manufacturing",0,0,0,0
Stocker calf production,10,0,5,0
"Stockyards (i.e., not for fattening or selling livestock), transportation",5,0,3,3
Stone Wholesale,0,0,0,0
Stone cutting saw blades manufacturing,33,0,4,21
Stone flooring installation,0,0,0,0
Stone working machinery manufacturing,16,0,4,3
"Stone, building or crushed, merchant wholesalers",28,0,8,16
"Stone, crushed and broken (except granite or limestone), mining and/or beneficiating",8,0,1,4
"Stone, dimension, mining or quarrying",11,0,3,8
"Stones, precious and semiprecious, merchant wholesalers",0,0,0,0
"Stones, synthetic, for gem stones and industrial use, manufacturing",0,0,0,0
"Stoneware (i.e., pottery products) manufacturing",0,0,0,0
"Stonework (i.e., masonry) contractors",26,0,12,1
"Stopcock drains, plumbing, manufacturing",22,0,3,4
"Stoppers, rubber, manufacturing",9,0,2,6
Storage Battery Manufacturing,362,0,113,61
Storage and Distribution of manufactured goods.,0,0,0,0
Storage and distribution of manufactured goods.,0,0,0,0
Storage batteries manufacturing,30,0,9,12
"Storage devices, computer, manufacturing",16,0,7,4
Storage of natural gas,0,0,0,0
"Storage tank, natural gas or oil, tank farm or field, construction",10,0,4,4
"Storage tanks, heavy gauge metal, manufacturing",25,0,9,4
Store,2172,0,531,928
Store construction,4,0,2,1
Store display fixtures manufacturing,24,0,7,2
Store equipment (except furniture) merchant wholesalers,3,0,1,2
Store fixtures (except refrigerated) merchant wholesalers,0,0,0,0
"Store front, metal or metal frame, installation",0,0,0,0
Store furniture merchant wholesalers,7,0,5,2
Storm basin cleanout services,6,0,2,1
"Storm doors and windows, metal, manufacturing",42,0,14,14
"Storm doors and windows, wood framed, manufacturing",12,0,5,0
Storm sewer construction,32,0,14,6
"Stoves, commercial-type, manufacturing",16,0,4,0
"Stoves, household-type cooking, manufacturing",9,0,8,0
"Straddle carriers, mobile, manufacturing",3,0,0,2
"Strainers, pipeline, manufacturing",1,0,1,0
"Stranded wire, uninsulated, made from purchased wire",4,0,0,1
"Strappings, metal, manufacturing",38,0,17,9
"Straps, leather, manufacturing",0,0,0,0
Strategic Storage Location,1,0,0,0
Strawberry Crops,9,0,0,7
Strawberry Production and Harvest,28,0,15,0
Strawberry farming,389,0,108,161
Street cleaning service,8,0,2,1
Street construction,80,0,42,28
Street lighting fixtures (except traffic signals) manufacturing,4,0,1,2
"Street railway systems (except mixed mode), commuter",1,0,0,1
"Street, interlocking brick (i.e., not mortared), installation",3,0,0,0
Streetcar line construction,8,0,0,8
"Stretchers, medical, manufacturing",14,0,3,2
"Stretching machines, metalworking, manufacturing",1,0,0,0
"Strip, copper and copper alloy, made from purchased copper or in integrated secondary smelting and rolling, drawing or extruding plants",6,0,1,3
"Strip, galvanized iron or steel, made in iron and steel mills",10,0,1,2
Stripping overburden services for nonmetallic minerals mining (except fuels) on a contract basis,1,0,1,1
Stroboscopes manufacturing,1,0,1,0
Structural Fabricator,1,0,1,0
Structural Steel Erection,17,0,0,9
Structural Steel Erection & Misc. Steel/Metals Install,2,0,1,0
Structural Steel and Precast Concrete Contractors,4,0,1,1
Structural and MISC steel,0,0,0,0
"Structural assemblies, metal, merchant wholesalers",16,0,4,2
"Structural assemblies, prefabricated (except wood), merchant wholesalers",2,0,1,0
"Structural assemblies, prefabricated wood, merchant wholesalers",2,0,0,1
"Structural lumber and timber, treating",12,0,5,5
"Structural members, glue laminated or pre-engineered wood, manufacturing",10,0,3,1
"Structural rolling mill machinery, metalworking, manufacturing",0,0,0,0
Structural shapes made by rolling purchased aluminum,14,0,9,3
"Structural shapes, aluminum, made in integrated secondary smelting and rolling mills",18,0,9,0
"Structural shapes, iron or steel, made in iron and steel mills",4,0,1,0
Structural steel erecting or iron work contractors,301,1,126,74
"Structural steel, fabricated, manufacturing",793,1,230,257
"Structural wood members (except trusses), fabricated, manufacturing",12,0,3,3
"Structural wood members, fabricated, manufacturing",3,0,0,1
"Struts, automotive, truck, and bus, manufacturing",0,0,0,0
Stucco Contractor,5,0,1,1
Stucco and stucco products manufacturing,2,0,1,0
Stucco contractors,140,0,46,78
"Stud wall (e.g., wood, steel) installation",4,0,1,0
Student records,1,0,0,1
Students' unions,1,0,1,0
"Studio equipment, radio and television broadcasting, manufacturing",4,0,1,4
"Studs, sheet metal (except stampings), manufacturing",18,0,7,10
"Stuffer, sausage machinery, manufacturing",1,0,1,0
Styrene made from refined petroleum or liquid hydrocarbons,1,0,0,0
Styrene resins manufacturing,8,0,3,5
Styrene-butadiene rubber containing less than 50 percent styrene manufacturing,2,0,0,1
Styrofoam manufacturing,1,0,0,1
Subcontractor Structural Roof Systems,6,1,6,0
Subcontractor- Finish Carpentry,2,0,0,2
Submarine building,355,0,155,113
"Subpresses, machine tool, manufacturing",4,0,1,0
Subsidiary management offices,18,0,4,8
"Substance abuse (i.e., alcoholism, drug addiction) halfway houses",4,0,5,0
"Substance abuse facilities, residential",233,0,119,34
Substance abuse prevention advocacy organizations,0,0,0,0
"Substance abuse treatment centers and clinics (except hospitals), outpatient",25,0,9,6
"Substation and switching station, power transmission line, construction",36,0,7,4
Substation packaging,0,0,0,0
"Substation transformers, electric power distribution, manufacturing",29,0,2,23
"Substation wiring, testing and commissioning services.",0,0,0,0
Substitutes that are not normally located in a specific building.,2,0,0,0
Suburban bus line services (except mixed mode),3,0,3,0
"Suburban transit systems, mixed mode (e.g., bus, commuter rail, subway combinations)",10,0,5,3
Subway construction,5,0,1,4
Suction therapy apparatus manufacturing,3,0,3,0
Sugar refining machinery manufacturing,2,0,1,0
"Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made from purchased synthetic sweeteners",5,0,2,1
"Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made in synthetic sweetener establishments",1,0,1,0
"Sugar, cane, manufacturing",70,0,19,39
"Sugar, confectionery, manufacturing",5,0,2,2
"Sugar, granulated, manufacturing",3,0,2,0
"Sugar, raw, manufacturing",0,0,0,0
"Sugar, refined, manufacturing",38,0,15,21
"Sugar, refined, merchant wholesalers",2,0,0,1
"Sugarcane farming, field production",15,0,4,3
Sugarcane mills,35,0,7,1
Sugarcane refining,0,0,0,0
"Suits, tailored, men's and boys', cut and sewn from purchased fabric (except apparel contractors)",3,0,2,2
Sulfides and sulfites manufacturing,7,1,5,0
"Sulfur and sulfur compounds, not specified elsewhere by process, manufacturing",1,0,1,0
Sulfur chloride manufacturing,4,0,1,0
Sulfur dioxide manufacturing,1,0,0,0
Sulfuric acid manufacturing,6,0,2,0
Summary,2,0,1,0
"Summer camps (except day, instructional)",89,0,4,11
Summer day camps (except instructional),0,0,0,0
Summer resort hotels without casinos,74,0,18,13
Summer theaters,3,0,2,1
"Sump pumps, residential-type, manufacturing",1,0,0,1
"Sun-room additions, residential",33,0,18,11
"Sunflower seed oil, cake and meal, made in crushing mills",9,0,0,1
Sunglasses and goggles manufacturing,0,0,0,0
Sunglasses merchant wholesalers,13,0,1,6
"Sunroofs and parts, automotive, truck, and bus, manufacturing",164,0,75,46
Sunscreen lotions and oils manufacturing,3,0,0,1
Super market and other grocery (Except convivence stores,2,0,1,0
"Superalloys, iron or steel, manufacturing",9,0,2,3
"Superalloys, nonferrous based, made from purchased metals or scrap",5,0,1,4
Supermarket,1436,0,395,331
Supermarket & Other Grocery,2,0,2,0
Supermarket & other Grocery Retailers,13,0,1,0
Supermarket and Other Grocery,62,0,52,4
"Supermarket, Retail",444,0,160,222
Supermarkets,2336,0,1013,529
Supermarkets and Other Grocery (except Convenience) Stores,10653,0,6794,3482
Supermarkets and Other Grocery Except Convenience Stores,6126,1,3169,2681
Supermarkets and Other Grocery Retailers,0,0,0,0
Supermarkets and Other Grocery Retailers (except Convenience Retailers),3434,0,896,1029
Supermarkets and Other Grocery Retailers (except Convenience Retailers)																	,0,0,0,0
Supermarkets and other grocery (except convenience,8,0,5,0
Supermarkets and other grocery (except convenience),4,0,2,1
Supermarkets and other grocery (except convenience) stores,4512,1,698,2844
Supermarkets_and_Other_Grocery_Retailers__except_Convenience_Retailers_,794,0,201,577
"Superstores (i.e., food and general merchandise)",56,0,25,19
Supply Chain,146,0,120,23
Supply Chain Support,0,0,0,0
"Supply agencies, government",0,0,0,0
"Supply line assemblies, plumbing (i.e., flexible hose with fittings), manufacturing",10,0,2,8
Support Activities For Animal Production,12,0,8,2
Support Activities for Air Transportation,755,1,285,400
Support Activities for Animal Production,0,0,0,0
Support Activities for Crop Production,58,0,20,13
Support Activities for Oil & Gas Ops.,0,0,0,0
Support Activities for Oil and Gas Operations,44,1,7,20
Support Activities for Printing,1,0,1,0
Support Activities for Rail Transportation,1,0,0,0
Support Activities for road transportation,81,0,16,51
Support activitie for rail transportation,21,0,4,11
Support activities for Forestry,0,0,0,0
Support activities for crop production,0,0,0,0
Support activities for oil & gas operations,0,0,0,0
Support activities for oil and gas operations,0,0,0,0
Support group services,0,0,0,0
Support of manufacturing - defense products,0,0,0,0
Supportive living,3,0,2,0
"Supports, orthopedic (e.g., abdominal, ankle, arch, kneecap), manufacturing",26,0,10,3
Surface active agents manufacturing,36,0,14,14
Surface area analyzers manufacturing,0,0,0,0
Surface coating purchased paperboard,1,0,0,0
Surface mining machinery (except drilling) manufacturing,14,0,4,7
Surface mount machinery for making printed circuit boards manufacturing,10,0,5,1
"Surfacing, highway, road, street, bridge or airport runway",109,1,37,35
Surge suppressors manufacturing,5,0,1,2
